epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
,0.01,0.9,0.01,,,0,,,,,,,,,,,,,,
0,,,,,,133,,,,,,,,,,0.12500204145908356,387.9722595214844,11.110475540161133,21.014684677124023,420.0974426269531
0,,,,8.661444664001465,19.633182525634766,133,,,,,,,0.05722375586628914,160524.296875,160552.625,,,,,
,0.01,0.9,0.01,,,134,,,,,,,,,,,,,,
1,,,,,,267,,,,,,,,,,0.14474961161613464,378.039306640625,18.212095260620117,21.153797149658203,417.4051208496094
1,,,,14.51219654083252,21.075876235961914,267,,,,,,,0.10608682781457901,145284.5625,145320.125,,,,,
,0.01,0.9,0.01,,,268,,,,,,,,,,,,,,
2,,,,,,401,,,,,,,,,,0.1639767289161682,373.83251953125,22.48801040649414,21.336151123046875,417.6565856933594
2,,,,20.034732818603516,21.181814193725586,401,,,,,,,0.12601105868816376,143221.09375,143262.359375,,,,,
,0.01,0.9,0.01,,,402,,,,,,,,,,,,,,
3,,,,,,535,,,,,,,,,,0.1773529052734375,371.541748046875,27.456247329711914,21.79737663269043,420.79534912109375
3,,,,25.43235206604004,21.439821243286133,535,,,,,,,0.13751649856567383,141953.578125,142000.421875,,,,,
,0.01,0.9,0.01,,,536,,,,,,,,,,,,,,
4,,,,,,669,,,,,,,,,,0.19091591238975525,369.8117370605469,30.869524002075195,22.34372329711914,423.0249938964844
4,,,,29.14840316772461,21.932676315307617,669,,,,,,,0.14934960007667542,141076.734375,141127.78125,,,,,
,0.01,0.9,0.01,,,670,,,,,,,,,,,,,,
5,,,,,,803,,,,,,,,,,0.19997285306453705,368.8060607910156,33.93890380859375,22.84058380126953,425.58544921875
5,,,,32.019386291503906,22.46994972229004,803,,,,,,,0.1596260517835617,139913.703125,139968.203125,,,,,
,0.01,0.9,0.01,,,804,,,,,,,,,,,,,,
6,,,,,,937,,,,,,,,,,0.20831578969955444,368.3494567871094,36.73095703125,23.291555404663086,428.3719177246094
6,,,,35.63645553588867,22.958053588867188,937,,,,,,,0.16359037160873413,139240.09375,139298.6875,,,,,
,0.01,0.9,0.01,,,938,,,,,,,,,,,,,,
7,,,,,,1071,,,,,,,,,,0.21002893149852753,367.8146667480469,38.63713073730469,23.693464279174805,430.14532470703125
7,,,,37.733612060546875,23.393917083740234,1071,,,,,,,0.16822288930416107,138689.046875,138750.21875,,,,,
,0.01,0.9,0.01,,,1072,,,,,,,,,,,,,,
8,,,,,,1205,,,,,,,,,,0.21948693692684174,366.5277099609375,40.957035064697266,24.071775436401367,431.556396484375
8,,,,39.48622512817383,23.78923988342285,1205,,,,,,,0.17389094829559326,138172.28125,138235.609375,,,,,
,0.01,0.9,0.01,,,1206,,,,,,,,,,,,,,
9,,,,,,1339,,,,,,,,,,0.21899765729904175,366.560546875,43.92448425292969,24.424694061279297,434.9096984863281
9,,,,42.11029815673828,24.161001205444336,1339,,,,,,,0.17914193868637085,137758.84375,137825.09375,,,,,
,0.01,0.9,0.01,,,1340,,,,,,,,,,,,,,
10,,,,,,1473,,,,,,,,,,0.22043178975582123,366.87640380859375,48.55544662475586,24.760438919067383,440.1922912597656
10,,,,45.72652816772461,24.51026725769043,1473,,,,,,,0.17960458993911743,137870.5,137940.78125,,,,,
,0.01,0.9,0.01,,,1474,,,,,,,,,,,,,,
11,,,,,,1607,,,,,,,,,,0.22836843132972717,364.8367919921875,50.50826644897461,25.082368850708008,440.4272766113281
11,,,,48.289180755615234,24.840970993041992,1607,,,,,,,0.1837790459394455,137332.5,137405.640625,,,,,
,0.01,0.9,0.01,,,1608,,,,,,,,,,,,,,
12,,,,,,1741,,,,,,,,,,0.23057042062282562,364.9542236328125,52.42804718017578,25.38018226623535,442.76239013671875
12,,,,50.74075698852539,25.158370971679688,1741,,,,,,,0.1860632449388504,137356.828125,137432.734375,,,,,
,0.01,0.9,0.01,,,1742,,,,,,,,,,,,,,
13,,,,,,1875,,,,,,,,,,0.2299724519252777,367.77093505859375,54.057559967041016,25.64004898071289,447.46856689453125
13,,,,52.83494186401367,25.44765281677246,1875,,,,,,,0.1857750564813614,137058.609375,137136.84375,,,,,
