epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
,0.01,0.9,0.01,,,0,,,,,,,,,,,,,,
0,,,,,,1,,,,,,,,,,0.22313955426216125,614.6644897460938,64.42998504638672,36.47658157348633,715.571044921875
0,,,,64.42998504638672,33.09204864501953,1,,,,,,,0.15028497576713562,279569.75,279667.25,,,,,
,0.01,0.9,0.01,,,2,,,,,,,,,,,,,,
1,,,,,,3,,,,,,,,,,0.2564624547958374,594.9698486328125,64.42998504638672,39.93084716796875,699.3306884765625
1,,,,64.42998504638672,37.463897705078125,3,,,,,,,0.20302164554595947,266850.15625,266952.0625,,,,,
,0.01,0.9,0.01,,,4,,,,,,,,,,,,,,
2,,,,,,5,,,,,,,,,,0.27096208930015564,586.0689086914062,64.42998504638672,42.1874885559082,692.6863403320312
2,,,,64.42998504638672,40.58637619018555,5,,,,,,,0.2268458753824234,255980.0625,256085.09375,,,,,
,0.01,0.9,0.01,,,6,,,,,,,,,,,,,,
3,,,,,,7,,,,,,,,,,0.2824057936668396,581.072265625,64.42998504638672,43.077232360839844,688.5794677734375
3,,,,64.42998504638672,42.475807189941406,7,,,,,,,0.22252531349658966,257159.5625,257266.484375,,,,,
,0.01,0.9,0.01,,,8,,,,,,,,,,,,,,
4,,,,,,9,,,,,,,,,,0.2932382822036743,578.0187377929688,64.42998504638672,43.05171203613281,685.5004272460938
4,,,,64.42998504638672,43.084190368652344,9,,,,,,,0.23884892463684082,253780.03125,253887.5625,,,,,
,0.01,0.9,0.01,,,10,,,,,,,,,,,,,,
5,,,,,,11,,,,,,,,,,0.30303138494491577,575.842529296875,64.42998504638672,43.1430549621582,683.4155883789062
5,,,,64.42998504638672,43.07766342163086,11,,,,,,,0.24459785223007202,251271.078125,251378.59375,,,,,
,0.01,0.9,0.01,,,12,,,,,,,,,,,,,,
6,,,,,,13,,,,,,,,,,0.3113403916358948,574.045166015625,64.42998504638672,43.27891159057617,681.7540893554688
6,,,,64.42998504638672,43.17875671386719,13,,,,,,,0.24936845898628235,250662.90625,250770.515625,,,,,
,0.01,0.9,0.01,,,14,,,,,,,,,,,,,,
7,,,,,,15,,,,,,,,,,0.3170265853404999,572.3894653320312,64.42998504638672,43.82587432861328,680.6453247070312
7,,,,64.42998504638672,43.375606536865234,15,,,,,,,0.2731352150440216,247229.71875,247337.53125,,,,,
,0.01,0.9,0.01,,,16,,,,,,,,,,,,,,
8,,,,,,17,,,,,,,,,,0.32006749510765076,571.2299194335938,64.42998504638672,44.69449234008789,680.3543701171875
8,,,,64.42998504638672,44.08057403564453,17,,,,,,,0.2690894901752472,248361.21875,248469.75,,,,,
,0.01,0.9,0.01,,,18,,,,,,,,,,,,,,
9,,,,,,19,,,,,,,,,,0.3225387930870056,570.5774536132812,64.42998504638672,45.388160705566406,680.3956298828125
9,,,,64.42998504638672,44.870216369628906,19,,,,,,,0.2848861813545227,244671.09375,244780.40625,,,,,
,0.01,0.9,0.01,,,20,,,,,,,,,,,,,,
10,,,,,,21,,,,,,,,,,0.3235436677932739,570.5477294921875,64.42998504638672,46.0263671875,681.0040893554688
10,,,,64.42998504638672,45.557823181152344,21,,,,,,,0.26782673597335815,244843.078125,244953.078125,,,,,
,0.01,0.9,0.01,,,22,,,,,,,,,,,,,,
11,,,,,,23,,,,,,,,,,0.32367053627967834,570.603515625,64.42998504638672,46.1628532409668,681.1963500976562
11,,,,64.42998504638672,46.101036071777344,23,,,,,,,0.26889580488204956,247339.59375,247450.125,,,,,
,0.01,0.9,0.01,,,24,,,,,,,,,,,,,,
12,,,,,,25,,,,,,,,,,0.3229115307331085,570.369140625,64.42998504638672,45.9676513671875,680.7667846679688
12,,,,64.42998504638672,46.12397003173828,25,,,,,,,0.27309083938598633,248895.71875,249006.28125,,,,,
,0.01,0.9,0.01,,,26,,,,,,,,,,,,,,
13,,,,,,27,,,,,,,,,,0.3227764070034027,569.7306518554688,64.42998504638672,46.23637008666992,680.3970336914062
13,,,,64.42998504638672,46.005096435546875,27,,,,,,,0.2777244448661804,241753.46875,241863.90625,,,,,
,0.01,0.9,0.01,,,28,,,,,,,,,,,,,,
14,,,,,,29,,,,,,,,,,0.32246172428131104,568.8868408203125,64.42998504638672,46.3609733581543,679.6777954101562
14,,,,64.42998504638672,46.25463104248047,29,,,,,,,0.2709900140762329,248477.75,248588.4375,,,,,
,0.01,0.9,0.01,,,30,,,,,,,,,,,,,,
15,,,,,,31,,,,,,,,,,0.32259008288383484,568.1077270507812,64.42998504638672,46.75791549682617,679.295654296875
15,,,,64.42998504638672,46.42982864379883,31,,,,,,,0.28279346227645874,243284.53125,243395.390625,,,,,
,0.01,0.9,0.01,,,32,,,,,,,,,,,,,,
16,,,,,,33,,,,,,,,,,0.323432058095932,567.763671875,64.42998504638672,47.46364974975586,679.6572875976562
16,,,,64.42998504638672,46.89960479736328,33,,,,,,,0.2791295647621155,243742.3125,243853.65625,,,,,
,0.003,0.9,0.01,,,34,,,,,,,,,,,,,,
17,,,,,,35,,,,,,,,,,0.32377949357032776,567.7379150390625,64.42998504638672,47.66364669799805,679.8314819335938
17,,,,64.42998504638672,47.51976776123047,35,,,,,,,0.26550060510635376,243285.6875,243397.65625,,,,,
,0.003,0.9,0.01,,,36,,,,,,,,,,,,,,
18,,,,,,37,,,,,,,,,,0.3242078721523285,567.5814819335938,64.42998504638672,47.77226638793945,679.7837524414062
18,,,,64.42998504638672,47.69589614868164,37,,,,,,,0.2768799364566803,245369.84375,245481.96875,,,,,
,0.003,0.9,0.01,,,38,,,,,,,,,,,,,,
19,,,,,,39,,,,,,,,,,0.32490408420562744,567.6244506835938,64.42998504638672,47.7818489074707,679.8363647460938
19,,,,64.42998504638672,47.77190399169922,39,,,,,,,0.2755005955696106,244274.65625,244386.875,,,,,
,0.003,0.9,0.01,,,40,,,,,,,,,,,,,,
20,,,,,,41,,,,,,,,,,0.32553380727767944,567.6239624023438,64.42998504638672,47.86213684082031,679.9160766601562
20,,,,64.42998504638672,47.79851531982422,41,,,,,,,0.2833132743835449,240025.34375,240137.5625,,,,,
,0.003,0.9,0.01,,,42,,,,,,,,,,,,,,
21,,,,,,43,,,,,,,,,,0.3260558545589447,567.6171875,64.42998504638672,47.88112258911133,679.9282836914062
