epoch,lr-AdamW,lr-AdamW-momentum,lr-AdamW-weight_decay,regularization_loss_core,regularization_loss_readout,step,test_correlation/dataloader_idx_0,test_correlation/dataloader_idx_1,test_correlation/dataloader_idx_2,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,train_correlation,train_loss,train_total_loss,val_correlation,val_loss,val_regularization_loss_core,val_regularization_loss_readout,val_total_loss
,0.01,0.9,0.01,,,0,,,,,,,,,,,,,,
0,,,,,,131,,,,,,,,,,0.13031034171581268,386.2666015625,11.54472827911377,21.013612747192383,418.8249816894531
0,,,,8.279346466064453,19.647436141967773,131,,,,,,,0.05803397297859192,160838.453125,160866.390625,,,,,
,0.01,0.9,0.01,,,132,,,,,,,,,,,,,,
1,,,,,,263,,,,,,,,,,0.16431577503681183,379.68597412109375,15.925780296325684,21.072011947631836,416.683837890625
1,,,,13.957502365112305,21.05714988708496,263,,,,,,,0.10672199726104736,145690.609375,145725.5625,,,,,
,0.01,0.9,0.01,,,264,,,,,,,,,,,,,,
2,,,,,,395,,,,,,,,,,0.17000097036361694,374.76861572265625,21.730255126953125,21.1756534576416,417.6744384765625
2,,,,19.827428817749023,21.073421478271484,395,,,,,,,0.1242082491517067,143709.484375,143750.421875,,,,,
,0.01,0.9,0.01,,,396,,,,,,,,,,,,,,
3,,,,,,527,,,,,,,,,,0.18225353956222534,373.99786376953125,27.386850357055664,21.640050888061523,423.02471923828125
3,,,,24.746368408203125,21.27140998840332,527,,,,,,,0.14151634275913239,142611.59375,142657.609375,,,,,
,0.01,0.9,0.01,,,528,,,,,,,,,,,,,,
4,,,,,,659,,,,,,,,,,0.19434522092342377,370.4541015625,31.807430267333984,22.262311935424805,424.52392578125
4,,,,29.800010681152344,21.79275131225586,659,,,,,,,0.1516236513853073,141323.9375,141375.625,,,,,
,0.01,0.9,0.01,,,660,,,,,,,,,,,,,,
5,,,,,,791,,,,,,,,,,0.19923211634159088,369.2071228027344,35.451168060302734,22.851322174072266,427.50958251953125
5,,,,33.049842834472656,22.414762496948242,791,,,,,,,0.15724506974220276,140328.734375,140384.1875,,,,,
,0.01,0.9,0.01,,,792,,,,,,,,,,,,,,
6,,,,,,923,,,,,,,,,,0.19527262449264526,370.6366271972656,39.51799774169922,23.320999145507812,433.4755859375
6,,,,37.83883285522461,22.97635841369629,923,,,,,,,0.16751039028167725,139486.71875,139547.484375,,,,,
,0.01,0.9,0.01,,,924,,,,,,,,,,,,,,
7,,,,,,1055,,,,,,,,,,0.21117264032363892,367.8135986328125,40.813777923583984,23.713226318359375,432.3404846191406
7,,,,40.34457015991211,23.42497444152832,1055,,,,,,,0.17262399196624756,139261.875,139325.671875,,,,,
,0.01,0.9,0.01,,,1056,,,,,,,,,,,,,,
8,,,,,,1187,,,,,,,,,,0.21990129351615906,367.6387634277344,42.31821060180664,24.053373336791992,434.0102844238281
