[2025-07-16 19:10:06,970][datajoint][INFO] - Connecting ssuhai@172.25.240.200:3306
[2025-07-16 19:10:07,033][datajoint][INFO] - Connected ssuhai@172.25.240.200:3306
[2025-07-16 19:10:14,153][datajoint][INFO] - Deleting 3 rows from `ageuler_ssuhai_closed_loop`.`__field__stack_averages`
[2025-07-16 19:10:14,233][datajoint][INFO] - Deleting 3 rows from `ageuler_ssuhai_closed_loop`.`__presentation__scan_info`
[2025-07-16 19:10:14,285][datajoint][INFO] - Deleting 9 rows from `ageuler_ssuhai_closed_loop`.`__presentation__stack_averages`
[2025-07-16 19:10:14,475][datajoint][INFO] - Deleting 93 rows from `ageuler_ssuhai_closed_loop`.`__celltype_assignment`
[2025-07-16 19:10:14,510][datajoint][INFO] - Deleting 93 rows from `ageuler_ssuhai_closed_loop`.`__baden16_traces`
[2025-07-16 19:10:14,567][datajoint][INFO] - Deleting 186 rows from `ageuler_ssuhai_closed_loop`.`__averages`
[2025-07-16 19:10:14,616][datajoint][INFO] - Deleting 93 rows from `ageuler_ssuhai_closed_loop`.`__chirp_q_i`
[2025-07-16 19:10:14,687][datajoint][INFO] - Deleting 93 rows from `ageuler_ssuhai_closed_loop`.`__os_ds_indexes`
[2025-07-16 19:10:14,727][datajoint][INFO] - Deleting 186 rows from `ageuler_ssuhai_closed_loop`.`__snippets`
[2025-07-16 19:10:14,771][datajoint][INFO] - Deleting 279 rows from `ageuler_ssuhai_closed_loop`.`__preprocess_traces`
[2025-07-16 19:10:14,814][datajoint][INFO] - Deleting 279 rows from `ageuler_ssuhai_closed_loop`.`__traces`
[2025-07-16 19:10:14,862][datajoint][INFO] - Deleting 3 rows from `ageuler_ssuhai_closed_loop`.`roi_mask__roi_mask_presentation`
[2025-07-16 19:10:14,945][datajoint][INFO] - Deleting 93 rows from `ageuler_ssuhai_closed_loop`.`__roi`
[2025-07-16 19:10:14,970][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`roi_mask`
[2025-07-16 19:10:14,998][datajoint][INFO] - Deleting 3 rows from `ageuler_ssuhai_closed_loop`.`__presentation`
[2025-07-16 19:10:15,023][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__field`
[2025-07-16 19:10:15,054][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`#raw_data_params`
[2025-07-16 19:10:15,122][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__experiment__animal`
[2025-07-16 19:10:15,171][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__experiment__exp_info`
[2025-07-16 19:10:15,220][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__experiment__indicator`
[2025-07-16 19:10:15,267][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__experiment__pharm_info`
[2025-07-16 19:10:15,292][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__experiment`
[2025-07-16 19:10:15,318][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`user_info`
[2025-07-16 19:10:19,440][datajoint][INFO] - Deletes committed.
[2025-07-16 19:10:19,668][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__experiment`
[2025-07-16 19:10:19,669][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:19,898][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__field`
[2025-07-16 19:10:19,898][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:20,146][datajoint][INFO] - Deleting 6 rows from `ageuler_ssuhai_closed_loop`.`#preprocess_params`
[2025-07-16 19:10:20,189][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`#cascade_trace_params`
[2025-07-16 19:10:20,234][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`#d_noise_trace_params`
[2025-07-16 19:10:20,259][datajoint][INFO] - Deleting 6 rows from `ageuler_ssuhai_closed_loop`.`stimulus`
[2025-07-16 19:10:21,354][datajoint][INFO] - Deletes committed.
[2025-07-16 19:10:21,583][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`#raw_data_params`
[2025-07-16 19:10:21,584][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:21,813][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`#preprocess_params`
[2025-07-16 19:10:21,813][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:22,042][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__snippets`
[2025-07-16 19:10:22,043][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:22,272][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__averages`
[2025-07-16 19:10:22,273][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:22,503][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__chirp_q_i`
[2025-07-16 19:10:22,503][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:22,733][datajoint][INFO] - Deleting 0 rows from `ageuler_ssuhai_closed_loop`.`__os_ds_indexes`
[2025-07-16 19:10:22,733][datajoint][WARNING] - Nothing to delete.
[2025-07-16 19:10:22,979][datajoint][INFO] - Deleting 1 rows from `ageuler_ssuhai_closed_loop`.`__classifier`
